state,segment,profile,lon,lat,x,z,x_err,z_err,beach_width,slope,feature_type
1,33,711,-95.5586,28.7994,-86.6961,2.2007,999,0.0268,999,999,DC
1,33,711,-95.5585,28.7992,-67.9461,1.4422,999,0.0457,999,999,DT
1,33,711,-95.558,28.7985,21.5644,0.37,0.0143,999,89.5105,0.012,SL
1,33,712,-95.5585,28.7994,-86.6961,2.1777,999,0.0308,999,999,DC
1,33,712,-95.5584,28.7993,-67.9461,1.3564,999,0.0462,999,999,DT
1,33,712,-95.558,28.7986,21.1528,0.37,0.0277,999,89.0989,0.0111,SL
1,33,713,-95.5584,28.7994,-84.1961,2.1817,999,0.0482,999,999,DC
1,33,713,-95.5583,28.7993,-67.9461,1.3089,999,0.0777,999,999,DT
1,33,713,-95.5579,28.7986,20.8141,0.37,0.0456,999,88.7602,0.0106,SL
1,33,714,-95.5583,28.7995,-84.1961,2.2389,999,0.062,999,999,DC
1,33,714,-95.5582,28.7994,-67.9461,1.2873,999,0.084,999,999,DT
1,33,714,-95.5578,28.7987,20.7574,0.37,0.016,999,88.7035,0.0103,SL
1,33,715,-95.5582,28.7995,-84.1961,2.2831,999,0.0409,999,999,DC
1,33,715,-95.5581,28.7994,-67.9461,1.2791,999,0.0991,999,999,DT
1,33,715,-95.5577,28.7987,21.2396,0.37,0.002,999,89.1857,0.0102,SL
1,33,716,-95.5581,28.7996,-84.1961,2.2731,999,0.0343,999,999,DC
1,33,716,-95.5581,28.7995,-70.4461,1.3908,999,0.0859,999,999,DT
1,33,716,-95.5576,28.7988,21.4964,0.37,0.0113,999,91.9425,0.0111,SL
1,33,717,-95.5581,28.7996,-86.6961,2.2477,999,0.0284,999,999,DC
1,33,717,-95.558,28.7995,-67.9461,1.2864,999,0.0839,999,999,DT
1,33,717,-95.5575,28.7988,21.4789,0.37,0.0317,999,89.425,0.0102,SL
1,33,718,-95.558,28.7997,-86.6961,2.1974,999,0.0385,999,999,DC
1,33,718,-95.5579,28.7995,-67.9461,1.299,999,0.0929,999,999,DT
1,33,718,-95.5574,28.7988,21.54,0.37,0.0599,999,89.4861,0.0104,SL
1,33,719,-95.5579,28.7997,-86.6961,2.1135,999,0.0687,999,999,DC
1,33,719,-95.5578,28.7996,-66.6961,1.2054,999,0.0679,999,999,DT
1,33,719,-95.5573,28.7989,21.3201,0.37,0.0442,999,88.0162,0.0095,SL
1,33,720,-95.5578,28.7998,-84.1961,2.0085,999,0.0676,999,999,DC
1,33,720,-95.5577,28.7996,-66.6961,1.1419,999,0.0749,999,999,DT
1,33,720,-95.5573,28.7989,20.7592,0.37,0.0656,999,87.4553,0.0088,SL
1,33,721,-95.5577,28.7998,-84.1961,1.9415,999,0.0343,999,999,DC
1,33,721,-95.5576,28.7997,-66.6961,1.1098,999,0.0756,999,999,DT
1,33,721,-95.5572,28.799,20.3444,0.37,0.1438,999,87.0405,0.0085,SL
1,33,722,-95.5576,28.7998,-84.1961,1.9249,999,0.0351,999,999,DC
1,33,722,-95.5575,28.7997,-67.9461,1.1096,999,0.0741,999,999,DT
1,33,722,-95.5571,28.799,20.3872,0.37,0.1436,999,88.3333,0.0084,SL
1,33,723,-95.5575,28.7999,-84.1961,1.9359,999,0.0364,999,999,DC
1,33,723,-95.5574,28.7998,-69.1961,1.1,999,0.1147,999,999,DT
1,33,723,-95.557,28.7991,20.8039,0.37,0.0968,999,89.9999,0.0081,SL
1,33,724,-95.5574,28.7999,-84.1961,1.9583,999,0.0407,999,999,DC
1,33,724,-95.5574,28.7998,-67.9461,1.1522,999,0.0962,999,999,DT
1,33,724,-95.5569,28.7991,21.3452,0.37,0.1017,999,89.2913,0.0088,SL
1,33,725,-95.5573,28.8,-81.6961,1.9916,999,0.0524,999,999,DC
1,33,725,-95.5573,28.7998,-66.6961,1.1758,999,0.0425,999,999,DT
1,33,725,-95.5568,28.7992,21.7388,0.37,0.0841,999,88.4349,0.0091,SL
1,33,726,-95.5572,28.8,-81.6961,2.0205,999,0.0425,999,999,DC
1,33,726,-95.5572,28.7999,-67.9461,1.2475,999,0.1118,999,999,DT
1,33,726,-95.5567,28.7992,22.1557,0.37,0.025,999,90.1018,0.0097,SL
1,33,727,-95.5572,28.8001,-81.6961,2.0245,999,0.0496,999,999,DC
1,33,727,-95.5571,28.7999,-67.9461,1.2422,999,0.1084,999,999,DT
1,33,727,-95.5566,28.7992,22.7504,0.37,0.0093,999,90.6965,0.0096,SL
1,33,728,-95.5571,28.8001,-81.6961,2.0138,999,0.0427,999,999,DC
1,33,728,-95.557,28.8,-67.9461,1.2268,999,0.109,999,999,DT
1,33,728,-95.5565,28.7993,23.2742,0.37,0.0169,999,91.2202,0.0094,SL
1,33,729,-95.557,28.8001,-81.6961,2.0107,999,0.0388,999,999,DC
1,33,729,-95.5569,28.8,-67.9461,1.2286,999,0.1086,999,999,DT
1,33,729,-95.5564,28.7993,23.7614,0.37,0.0332,999,91.7074,0.0094,SL
1,33,730,-95.5569,28.8002,-81.6961,2.0027,999,0.0435,999,999,DC
1,33,730,-95.5568,28.8001,-66.6961,1.1919,999,0.069,999,999,DT
1,33,730,-95.5563,28.7994,23.9232,0.37,0.0074,999,90.6193,0.0091,SL
1,33,731,-95.5568,28.8002,-81.6961,2.0026,999,0.0435,999,999,DC
1,33,731,-95.5567,28.8001,-67.9461,1.2088,999,0.0892,999,999,DT
